"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"133","Vodka Soda","cocktail_recipe_book::vodka_soda","Cocktail Recipe Book","","Classic","Bubbly and Dry","","Built","Long Drink | Simple 2-Ingredient","Highball","Fizzy | Refreshing","Chill","Patio","Sessionable","Light",""
"66","Ward Eight","cocktail_recipe_book::ward_eight","Cocktail Recipe Book","","Classic","Sweet and Citrusy","","Shaken","Spirit + Citrus + Sweet","Sour","Citrusy","","","","",""
"43","Whiskey Sour","cocktail_recipe_book::whiskey_sour","Cocktail Recipe Book","","Classic","Sweet and Sour","","Shaken","Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy | Sour | Warming","","","","",""
"20","White Lady","cocktail_recipe_book::white_lady","Cocktail Recipe Book","","Classic","Sweet and Sour","","Shaken","Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy","","","","",""
"45","Witty Comeback","cocktail_recipe_book::witty_comeback","Cocktail Recipe Book","","Modern","Complex and Herbal","","","","","","","","","",""
"111","Zombie","cocktail_recipe_book::zombie","Cocktail Recipe Book","","","Strong and Sweet","Dramatic | Tiki","","Complex Spec | Over Crushed Ice | Tiki Multi-Ingredient","","Tropical","Adventurous | Bold | Late-Night","","High-Octane","",""
"207","Apricot Mocktail","ultimate_bar_book_the_comprehensive_guid::apricot_mocktail","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","Low-ABV","",""
"208","Banana Mocha Frappé","ultimate_bar_book_the_comprehensive_guid::banana_mocha_frapp","Ultimate Bar Book: the Comprehensive Guide","","","","","Blended","Frozen Cocktail","","Coffee / Chocolate | Creamy","","","","Creamy | Thick",""
"209","Beach Breeze","ultimate_bar_book_the_comprehensive_guid::beach_breeze","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"210","Bergamot-Berry Iced Tea","ultimate_bar_book_the_comprehensive_guid::bergamot_berry_iced_tea","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"211","Chocolate Citrus Cocktail","ultimate_bar_book_the_comprehensive_guid::chocolate_citrus_cocktail","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"212","Cilantro Limeade Cooler","ultimate_bar_book_the_comprehensive_guid::cilantro_limeade_cooler","Ultimate Bar Book: the Comprehensive Guide","","","","","","Long Drink","Cooler","","","","","",""
"214","Coconut Fizz","ultimate_bar_book_the_comprehensive_guid::coconut_fizz","Ultimate Bar Book: the Comprehensive Guide","","","","","Built","Topped With Soda","Fizz","","","","","",""
"216","Cucumber Lemonade","ultimate_bar_book_the_comprehensive_guid::cucumber_lemonade","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"218","Fuzzless Navel","ultimate_bar_book_the_comprehensive_guid::fuzzless_navel","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"220","Ginger Citrus Cocktail","ultimate_bar_book_the_comprehensive_guid::ginger_citrus_cocktail","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"221","Ginger Julep","ultimate_bar_book_the_comprehensive_guid::ginger_julep","Ultimate Bar Book: the Comprehensive Guide","","","","","Muddled","Over Crushed Ice","Julep","Spicy","","","","",""
"219","Ginger and Fred","ultimate_bar_book_the_comprehensive_guid::ginger_and_fred","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","Spicy","","","","",""
"223","Hibiscus-Lemongrass Iced Tea Cooler","ultimate_bar_book_the_comprehensive_guid::hibiscus_lemongrass_iced_tea_cooler","Ultimate Bar Book: the Comprehensive Guide","","","","","","Long Drink","Cooler","","","","","",""
"226","Iced Mocha Java","ultimate_bar_book_the_comprehensive_guid::iced_mocha_java","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"227","Jill-in-the-Box","ultimate_bar_book_the_comprehensive_guid::jill_in_the_box","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"228","Lemon Berry Ambrosia","ultimate_bar_book_the_comprehensive_guid::lemon_berry_ambrosia","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"229","Lemonade","ultimate_bar_book_the_comprehensive_guid::lemonade","Ultimate Bar Book: the Comprehensive Guide","","","","","Built","","","","","","Low-ABV","",""
"230","Mango Tango","ultimate_bar_book_the_comprehensive_guid::mango_tango","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"231","Mexicocoa Eggnog","ultimate_bar_book_the_comprehensive_guid::mexicocoa_eggnog","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","Creamy","Cozy","Holiday | Winter","","Creamy",""
"234","Orangeade","ultimate_bar_book_the_comprehensive_guid::orangeade","Ultimate Bar Book: the Comprehensive Guide","","","","","Built","","","","","","Low-ABV","",""
"235","Papaya Banana Restorative","ultimate_bar_book_the_comprehensive_guid::papaya_banana_restorative","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"237","Paradise Cooler","ultimate_bar_book_the_comprehensive_guid::paradise_cooler","Ultimate Bar Book: the Comprehensive Guide","","","","","","Long Drink","Cooler","","","","","",""
"238","Pink Grapefruit","ultimate_bar_book_the_comprehensive_guid::pink_grapefruit","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"241","Piña Un-Colada","ultimate_bar_book_the_comprehensive_guid::pi_a_un_colada","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","Low-ABV","",""
"242","Plum Mango Lassi","ultimate_bar_book_the_comprehensive_guid::plum_mango_lassi","Ultimate Bar Book: the Comprehensive Guide","","","","","Blended","Frozen Cocktail","","Creamy","","","","Creamy | Thick",""
